Timestamp,ThreadID,Role,Action,Resource
14.3357,5,Bowler,Bowled,Pitch
14.8518,7,Fielder,Fielded,Ball
29.8585,5,Bowler,Bowled,Pitch
30.2975,9,Fielder,Fielded,Ball
78.1275,5,Bowler,Bowled,Pitch
78.3707,6,Fielder,Fielded,Ball
93.8882,5,Bowler,Bowled,Pitch
94.0032,9,Fielder,Fielded,Ball
110.137,5,Bowler,Bowled,Pitch
110.264,6,Fielder,Fielded,Ball
125.839,5,Bowler,Bowled,Pitch
126.136,9,Fielder,Fielded,Ball
153.103,13,Bowler,Bowled,Pitch
153.686,6,Fielder,Fielded,Ball
170.939,13,Bowler,Bowled,Pitch
171.081,9,Fielder,Fielded,Ball
187.189,13,Bowler,Bowled,Pitch
187.689,6,Fielder,Fielded,Ball
203.779,13,Bowler,Bowled,Pitch
211.851,13,Bowler,Bowled,Pitch
212.133,8,Fielder,Fielded,Ball
220.578,13,Bowler,Bowled,Pitch
220.698,7,Fielder,Fielded,Ball
246.919,14,Bowler,Bowled,Pitch
255.532,14,Bowler,Bowled,Pitch
255.735,7,Fielder,Fielded,Ball
264.034,14,Bowler,Bowled,Pitch
265.829,10,Fielder,Fielded,Ball
281.879,14,Bowler,Bowled,Pitch
282.597,7,Fielder,Fielded,Ball
295.737,14,Bowler,Bowled,Pitch
296.028,10,Fielder,Catch,Ball
311.928,14,Bowler,Bowled,Pitch
312.355,7,Fielder,Fielded,Ball
359.585,16,Bowler,Bowled,Pitch
359.779,6,Fielder,Fielded,Ball
390.462,16,Bowler,Bowled,Pitch
390.663,7,Fielder,Fielded,Ball
406.608,16,Bowler,Bowled,Pitch
406.762,6,Fielder,Fielded,Ball
437.874,16,Bowler,Bowled,Pitch
438.002,9,Fielder,Fielded,Ball
455.324,16,Bowler,Bowled,Pitch
456.19,10,Fielder,Fielded,Ball
469.766,16,Bowler,Bowled,Pitch
469.997,6,Fielder,Fielded,Ball
502.62,17,Bowler,Bowled,Pitch
502.918,9,Fielder,Fielded,Ball
517.247,17,Bowler,Bowled,Pitch
517.379,10,Fielder,Fielded,Ball
529.378,17,Bowler,Bowled,Pitch
530.404,6,Fielder,Fielded,Ball
553.259,17,Bowler,Bowled,Pitch
553.652,9,Fielder,Catch,Ball
577.65,17,Bowler,Bowled,Pitch
579,6,Fielder,Fielded,Ball
585.957,17,Bowler,Bowled,Pitch
586.89,9,Fielder,Fielded,Ball
604.228,19,Bowler,Bowled,Pitch
604.39,6,Fielder,Fielded,Ball
629.656,19,Bowler,Bowled,Pitch
629.832,7,Fielder,Fielded,Ball
654.523,19,Bowler,Bowled,Pitch
654.894,6,Fielder,Fielded,Ball
662.283,19,Bowler,Bowled,Pitch
662.376,9,Fielder,Fielded,Ball
678.419,19,Bowler,Bowled,Pitch
678.467,6,Fielder,Fielded,Ball
694.208,19,Bowler,Bowled,Pitch
695.025,6,Fielder,Fielded,Ball
742.937,20,Bowler,Bowled,Pitch
743.197,6,Fielder,Catch,Ball
762.218,20,Bowler,Bowled,Pitch
762.746,7,Fielder,Fielded,Ball
795.561,20,Bowler,Bowled,Pitch
795.669,7,Fielder,Fielded,Ball
805.008,20,Bowler,Bowled,Pitch
805.288,9,Fielder,Fielded,Ball
827.85,20,Bowler,Bowled,Pitch
828.008,9,Fielder,Fielded,Ball
853.392,20,Bowler,Bowled,Pitch
853.544,6,Fielder,Catch,Ball
871.424,22,Bowler,Bowled,Pitch
871.505,10,Fielder,Fielded,Ball
879.987,22,Bowler,Bowled,Pitch
887.367,22,Bowler,Bowled,Pitch
896.258,22,Bowler,Bowled,Pitch
896.681,6,Fielder,Fielded,Ball
903.783,22,Bowler,Bowled,Pitch
904.552,9,Fielder,Fielded,Ball
934.765,22,Bowler,Bowled,Pitch
934.897,8,Fielder,Fielded,Ball
954.493,24,Bowler,Bowled,Pitch
954.657,7,Fielder,Fielded,Ball
961.657,24,Bowler,Bowled,Pitch
961.799,7,Fielder,Fielded,Ball
977.507,24,Bowler,Bowled,Pitch
978.274,8,Fielder,Fielded,Ball
1003.81,24,Bowler,Bowled,Pitch
1004.09,7,Fielder,Fielded,Ball
1028.72,24,Bowler,Bowled,Pitch
1044.86,24,Bowler,Bowled,Pitch
1045.38,7,Fielder,Fielded,Ball
1064.19,26,Bowler,Bowled,Pitch
1071.11,26,Bowler,Bowled,Pitch
1071.38,6,Fielder,Fielded,Ball
1088.28,26,Bowler,Bowled,Pitch
1088.43,7,Fielder,Fielded,Ball
1111.55,26,Bowler,Bowled,Pitch
1111.83,6,Fielder,Fielded,Ball
1120.14,26,Bowler,Bowled,Pitch
1135.9,26,Bowler,Bowled,Pitch
1136.68,7,Fielder,Fielded,Ball
1162.61,28,Bowler,Bowled,Pitch
1162.81,6,Fielder,Fielded,Ball
1185.26,28,Bowler,Bowled,Pitch
1185.37,7,Fielder,Fielded,Ball
1195.19,28,Bowler,Bowled,Pitch
1195.45,8,Fielder,Fielded,Ball
1203.29,28,Bowler,Bowled,Pitch
1203.38,8,Fielder,Fielded,Ball
1211.63,28,Bowler,Bowled,Pitch
1211.76,10,Fielder,Fielded,Ball
1220.79,28,Bowler,Bowled,Pitch
1236.93,29,Bowler,Bowled,Pitch
1237.21,8,Fielder,Fielded,Ball
1251.94,29,Bowler,Bowled,Pitch
1252.04,6,Fielder,Fielded,Ball
1299.83,29,Bowler,Bowled,Pitch
1328.43,29,Bowler,Bowled,Pitch
1328.98,6,Fielder,Fielded,Ball
1337.39,29,Bowler,Bowled,Pitch
1337.53,7,Fielder,Fielded,Ball
1346.88,29,Bowler,Bowled,Pitch
1347.38,6,Fielder,Fielded,Ball
1393.89,32,Bowler,Bowled,Pitch
1394.11,7,Fielder,Fielded,Ball
1409.12,32,Bowler,Bowled,Pitch
1409.31,6,Fielder,Fielded,Ball
